Layer name,Seq Length,Embed Dim,Num Heads,FFN Dim
Encoder1,196,1024,16,4096
Encoder2,196,1024,16,4096
Encoder3,196,1024,16,4096
Encoder4,196,1024,16,4096
Encoder5,196,1024,16,4096
Encoder6,196,1024,16,4096
Encoder7,196,1024,16,4096
Encoder8,196,1024,16,4096
Encoder9,196,1024,16,4096
Encoder10,196,1024,16,4096
Encoder11,196,1024,16,4096
Encoder12,196,1024,16,4096
Encoder13,196,1024,16,4096
Encoder14,196,1024,16,4096
Encoder15,196,1024,16,4096
Encoder16,196,1024,16,4096
Encoder17,196,1024,16,4096
Encoder18,196,1024,16,4096
Encoder19,196,1024,16,4096
Encoder20,196,1024,16,4096
Encoder21,196,1024,16,4096
Encoder22,196,1024,16,4096
Encoder23,196,1024,16,4096
Encoder24,196,1024,16,4096